package|import_modules|direct_import_count
asgiref|asgiref|0
Django|django|181
django-cors-headers|corsheaders|0
djangorestframework|rest_framework|76
mysqlclient|MySQLdb,mysqlclient|0
pdfplumber|pdfplumber|1
firebase-admin|firebase_admin|3
openpyxl|openpyxl|1
sqlparse|sqlparse|0
tzdata|tzdata|0
scikit-learn|sklearn|9
pandas|pandas|14
numpy|numpy|9
joblib|joblib|7
tensorflow|tensorflow|0
xgboost|xgboost|0
statsmodels|statsmodels|0
matplotlib|matplotlib|0
seaborn|seaborn|0
jupyter|jupyter|0
ipykernel|ipykernel|0
python-dotenv|dotenv|0
drf-yasg|drf_yasg|2
djangorestframework-simplejwt|rest_framework_simplejwt|2
requests|requests|5
scipy|scipy|1
