year_month,product_name,demand_mt
2025-08,Bean,31399
2025-08,Beet,17787
2025-08,Cabbage,51726
2025-08,Capsicum,11578
2025-08,Carrot,33682
2025-08,Knol-Khol,7307
2025-08,Leeks,20774
2025-08,Tomato,41681
2025-08,Radish,20419
2025-08,Pumpkin,56471
2025-08,Snake gourd,13468
2025-08,Cucumber,16971
2025-08,Bitter gourd,16343
2025-08,Okra,30321
2025-08,Brinjal,54633
2025-08,Ash plantain,5897
2025-08,Luffa,13451
2025-08,Long Bean,31472
2025-08,Winged bean,5919
2025-08,Kekiri,6557
2025-09,Bean,36159
2025-09,Beet,19731
2025-09,Cabbage,59249
2025-09,Capsicum,12472
2025-09,Carrot,38943
2025-09,Knol-Khol,7989
2025-09,Leeks,23925
2025-09,Tomato,44454
2025-09,Radish,22763
2025-09,Pumpkin,58782
2025-09,Snake gourd,13691
2025-09,Cucumber,17278
2025-09,Bitter gourd,16928
2025-09,Okra,30837
2025-09,Brinjal,57022
2025-09,Ash plantain,5905
2025-09,Luffa,14022
2025-09,Long Bean,32004
2025-09,Winged bean,6030
2025-09,Kekiri,6698
2025-07,Bean,26036
2025-07,Beet,14509
2025-07,Cabbage,43138
2025-07,Capsicum,9901
2025-07,Carrot,27975
2025-07,Knol-Khol,6367
2025-07,Leeks,17443
2025-07,Tomato,36728
2025-07,Radish,17188
2025-07,Pumpkin,48910
2025-07,Snake gourd,11754
2025-07,Cucumber,15349
2025-07,Bitter gourd,14055
2025-07,Okra,27279
2025-07,Brinjal,47978
2025-07,Ash plantain,5444
2025-07,Luffa,11697
2025-07,Long Bean,27379
2025-07,Winged bean,5312
2025-07,Kekiri,5836
2025-03,Bean,49810
2025-03,Beet,21520
2025-03,Cabbage,55110
2025-03,Capsicum,15903
2025-03,Carrot,44410
2025-03,Knol-Khol,5237
2025-03,Leeks,38678
2025-03,Tomato,41551
2025-03,Radish,37249
2025-03,Pumpkin,43593
2025-03,Snake gourd,14073
2025-03,Cucumber,15630
2025-03,Bitter gourd,17352
2025-03,Okra,33326
2025-03,Brinjal,57486
2025-03,Ash plantain,4832
2025-03,Luffa,15276
2025-03,Long Bean,36463
2025-03,Winged bean,6336
2025-03,Kekiri,4743
2025-06,Bean,17828
2025-06,Beet,9541
2025-06,Cabbage,32069
2025-06,Capsicum,7312
2025-06,Carrot,19041
2025-06,Knol-Khol,4290
2025-06,Leeks,12131
2025-06,Tomato,26678
2025-06,Radish,12244
2025-06,Pumpkin,39789
2025-06,Snake gourd,9250
2025-06,Cucumber,13317
2025-06,Bitter gourd,11119
2025-06,Okra,22481
2025-06,Brinjal,38502
2025-06,Ash plantain,5168
2025-06,Luffa,9637
2025-06,Long Bean,21826
2025-06,Winged bean,4404
2025-06,Kekiri,6137
2025-05,Bean,11185
2025-05,Beet,6290
2025-05,Cabbage,20659
2025-05,Capsicum,5037
2025-05,Carrot,11970
2025-05,Knol-Khol,2380
2025-05,Leeks,7410
2025-05,Tomato,16007
2025-05,Radish,8170
2025-05,Pumpkin,29485
2025-05,Snake gourd,6785
2025-05,Cucumber,10562
2025-05,Bitter gourd,8196
2025-05,Okra,16315
2025-05,Brinjal,28554
2025-05,Ash plantain,2785
2025-05,Luffa,6980
2025-05,Long Bean,15388
2025-05,Winged bean,3387
2025-05,Kekiri,5186
2025-02,Bean,43478
2025-02,Beet,19026
2025-02,Cabbage,47616
2025-02,Capsicum,14611
2025-02,Carrot,37436
2025-02,Knol-Khol,4539
2025-02,Leeks,33361
2025-02,Tomato,35477
2025-02,Radish,33697
2025-02,Pumpkin,40993
2025-02,Snake gourd,13212
2025-02,Cucumber,15248
2025-02,Bitter gourd,16112
2025-02,Okra,32084
2025-02,Brinjal,53906
2025-02,Ash plantain,4825
2025-02,Luffa,14519
2025-02,Long Bean,35378
2025-02,Winged bean,6148
2025-02,Kekiri,4675
2025-01,Bean,31288
2025-01,Beet,14759
2025-01,Cabbage,36618
2025-01,Capsicum,12437
2025-01,Carrot,27722
2025-01,Knol-Khol,3152
2025-01,Leeks,24197
2025-01,Tomato,27264
2025-01,Radish,26477
2025-01,Pumpkin,35299
2025-01,Snake gourd,11633
2025-01,Cucumber,13129
2025-01,Bitter gourd,14135
2025-01,Okra,29078
2025-01,Brinjal,46949
2025-01,Ash plantain,4738
2025-01,Luffa,12902
2025-01,Long Bean,30804
2025-01,Winged bean,5529
2025-01,Kekiri,4244
2024-12,Bean,24704
2024-12,Beet,10986
2024-12,Cabbage,28583
2024-12,Capsicum,9919
2024-12,Carrot,20198
2024-12,Knol-Khol,2499
2024-12,Leeks,19038
2024-12,Tomato,22192
2024-12,Radish,20795
2024-12,Pumpkin,29888
2024-12,Snake gourd,9126
2024-12,Cucumber,10217
2024-12,Bitter gourd,11503
2024-12,Okra,24279
2024-12,Brinjal,39325
2024-12,Ash plantain,4330
2024-12,Luffa,10888
2024-12,Long Bean,26078
2024-12,Winged bean,4108
2024-12,Kekiri,3785
2024-11,Bean,16269
2024-11,Beet,7072
