generated_at,last_updated_at,crop_name,prediction_type,predicted_price,confidence,season,supply,demand,market_trend
2026-03-17T08:43:33.308236+05:30,2026-03-17T08:43:33.308236+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:43:33.279403+05:30,2026-03-17T08:43:33.279403+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:41:04.093837+05:30,2026-03-17T08:41:04.093837+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:41:04.079793+05:30,2026-03-17T08:41:04.079793+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:38:50.834285+05:30,2026-03-17T08:38:50.834285+05:30,Tomato,price,384.9616603856981,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:38:50.619732+05:30,2026-03-17T08:38:50.619732+05:30,Tomato,price,384.96166038569817,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:28:56.665423+05:30,2026-03-17T08:28:56.665423+05:30,Beans,price,352.7797756739024,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:28:46.968995+05:30,2026-03-17T08:28:46.968995+05:30,Beetroot,price,109.20752243109202,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:28:43.547975+05:30,2026-03-17T08:28:43.547975+05:30,Cucumber,price,109.207522431092,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:13:54.866436+05:30,2026-03-17T08:13:54.866436+05:30,Potato,price,284.7094480788041,,northeast_monsoon,1000,1200,stable
2026-03-17T08:13:39.792360+05:30,2026-03-17T08:13:39.792360+05:30,Beetroot,price,109.20752243109202,,northeast_monsoon,1000,1200,stable
2026-03-17T08:13:29.477306+05:30,2026-03-17T08:13:29.477306+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:13:18.982005+05:30,2026-03-17T08:13:18.982005+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-17T08:13:18.927694+05:30,2026-03-17T08:13:18.927694+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-17T08:13:17.289937+05:30,2026-03-17T08:13:17.299987+05:30,Tomato,price,384.96166038569817,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:13:17.255403+05:30,2026-03-17T08:13:17.255403+05:30,Tomato,price,384.9616603856981,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:12:56.046832+05:30,2026-03-17T08:12:56.046832+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-17T08:10:22.436421+05:30,2026-03-17T08:10:22.436421+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:10:22.401737+05:30,2026-03-17T08:10:22.401737+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-17T08:09:10.926454+05:30,2026-03-17T08:09:10.926454+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T08:09:00.798727+05:30,2026-03-17T08:09:00.798727+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-17T08:09:00.789389+05:30,2026-03-17T08:09:00.789389+05:30,Tomato,price,384.96166038569805,,northeast_monsoon,1000,1200,stable
2026-03-17T08:08:59.831805+05:30,2026-03-17T08:08:59.831805+05:30,Tomato,price,384.96166038569805,,first_inter_monsoon,1000,1200,stable
2026-03-17T08:08:59.539853+05:30,2026-03-17T08:08:59.539853+05:30,Tomato,price,384.9616603856981,,first_inter_monsoon,1000,1200,stable
2026-03-17T07:28:22.229536+05:30,2026-03-17T07:28:22.229536+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-17T07:28:22.095838+05:30,2026-03-17T07:28:22.095838+05:30,Tomato,price,384.96166038569805,,northeast_monsoon,1000,1200,stable
2026-03-17T07:28:21.037728+05:30,2026-03-17T07:28:21.037728+05:30,Tomato,price,384.96166038569805,,first_inter_monsoon,1000,1200,stable
2026-03-17T07:28:20.909277+05:30,2026-03-17T07:28:20.909277+05:30,Tomato,price,384.96166038569817,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:10:37.812417+05:30,2026-03-15T21:10:37.812417+05:30,Tomato,price,384.9616603856981,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:10:37.806330+05:30,2026-03-15T21:10:37.806330+05:30,Tomato,price,384.9616603856981,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:09:52.072370+05:30,2026-03-15T21:09:52.072370+05:30,Tomato,price,384.96166038569805,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:52.069681+05:30,2026-03-15T21:09:52.069681+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:50.499922+05:30,2026-03-15T21:09:50.499922+05:30,Tomato,price,384.96166038569817,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:09:50.493911+05:30,2026-03-15T21:09:50.493911+05:30,Tomato,price,384.96166038569805,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:09:49.011252+05:30,2026-03-15T21:09:49.011252+05:30,Tomato,price,384.9616603856981,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:48.983883+05:30,2026-03-15T21:09:48.983883+05:30,Tomato,price,384.96166038569805,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:30.120662+05:30,2026-03-15T21:09:30.120662+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:30.102964+05:30,2026-03-15T21:09:30.102964+05:30,Tomato,price,384.96166038569805,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:28.281167+05:30,2026-03-15T21:09:28.281167+05:30,Tomato,price,384.96166038569805,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:09:28.281167+05:30,2026-03-15T21:09:28.281167+05:30,Tomato,price,384.96166038569817,,first_inter_monsoon,1000,1200,stable
2026-03-15T21:09:27.392456+05:30,2026-03-15T21:09:27.392456+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-15T21:09:27.391926+05:30,2026-03-15T21:09:27.391926+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-15T21:06:47.929376+05:30,2026-03-15T21:06:47.929376+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
2026-03-15T21:06:47.912421+05:30,2026-03-15T21:06:47.912421+05:30,Tomato,price,384.96166038569817,,northeast_monsoon,1000,1200,stable
